title,link,qualified
IT Project Manager,https://www.jobstreet.co.id/id/job/it-project-manager-3846101?jobId=jobstreet-id-job-3846101&sectionRank=1&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Managing IT projects in collaboration with different stakeholders to meet the project goals, deadline, and budget.', 'Acting as Business Analyst to gather requirement and create simple document of business flow or mock up for developers.', 'Providing project status report.', 'Creating project plan as well as identify project risk and mitigation for each risk.', 'Test the application to ensure all features working as intended and manage potential bug.', 'Doing handover to operational team and provides the handover documents.', 'Taking ownership of each project/application that has been built.', 'Taking responsible for MIS & reporting project and other IT projects.']"
IT Infrastructure Supervisor,https://www.jobstreet.co.id/id/job/it-infrastructure-supervisor-3846280?jobId=jobstreet-id-job-3846280&sectionRank=2&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['PT Priamanaya Djan International through its subsidiaries develops, owns, and operates real estate properties. The company also operates coal-fired power plants and mines. PT Priamanaya Djan International was founded in 1980 and is based in Jakarta, Indonesia.']"
IT Infrastructure Senior Engineer,https://www.jobstreet.co.id/id/job/it-infrastructure-senior-engineer-3843441?jobId=jobstreet-id-job-3843441&sectionRank=3&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,[]
IT Administration and Security Manager,https://www.jobstreet.co.id/id/job/it-administration-and-security-manager-3842443?jobId=jobstreet-id-job-3842443&sectionRank=4&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Defining IT processes, developing IT policy, and implementing IT best practices', 'Installing and configuring IT assets', 'Ensuring service level troubleshooting for hardware and software issues', 'Ensuring regular checks on network and data security in IT assets', 'Managing, monitoring, and reporting on the allocation of IT assets', 'Taking the initiative to improve and update software and systems', 'Assessing vendors for new IT hardware and software provider', 'Supporting IT day-to-day operations.', 'Secure infrastructure against cyber attacks and perform regular audits', 'Assess, analyze and act on cyber threats and attacks detected on the endpoint\xa0', 'Data Privacy Compliance']"
IT DEVELOPMENT / IT PROGRAMMER,https://www.jobstreet.co.id/id/job/it-development-it-programmer-3844016?jobId=jobstreet-id-job-3844016&sectionRank=5&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Menguasai bahasa pemrograman C#, PHP(BACKEND),JS ,CSS, JQUERY (FRONTEND)\xa0', 'Menguasai MySql, SQL Server & Query Database', 'Mengerti pembuatan Laporan Crystall Report']"
IT Application Development Manager,https://www.jobstreet.co.id/id/job/it-application-development-manager-3846064?jobId=jobstreet-id-job-3846064&sectionRank=6&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Analyze, develop, and maintain credit scoring application', 'Maintain and support existing applications', 'Support project management', 'Develop internal application']"
Head of IT Development,https://www.jobstreet.co.id/id/job/head-of-it-development-3845523?jobId=jobstreet-id-job-3845523&sectionRank=7&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Career growth', 'Working culture']"
IT Security Specialist,https://www.jobstreet.co.id/id/job/it-security-specialist-3845306?jobId=jobstreet-id-job-3845306&sectionRank=8&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Rapidly Growth Company', 'Opportunities For Enhanced learning', 'Career Development']"
ERP Technical / Program Analys Specialist,https://www.jobstreet.co.id/id/job/erp-technical-program-analys-specialist-3846315?jobId=jobstreet-id-job-3846315&sectionRank=9&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Pendidikan min S1 T. informatika/ komputer', 'Pengalaman kerja min 5 tahun dibidang yang sama', 'menguasai teknik dan metodologi pemograman (SDLC)', 'Menguasai beberapa teknologi development al : Java, Phyton, Oracle tect, series, nodejs, net (c#), Jquery', 'Menguasai metodologi pengolahan data dan mampu menggunakan DBMS Tools (TOAD for Oracle, SQL Plus, My Sql, Firebird, MS SQL Server)', 'Memiliki fundamental datawarehouse, ETL dan data integration', 'Berpengalaman dalam implementasi dan kustominasi ERP berskala enterprise (Oracle Product Series, Microsoft Product, Ellipse, JDE, SAP)']"
Programmer,https://www.jobstreet.co.id/id/job/programmer-3845913?jobId=jobstreet-id-job-3845913&sectionRank=10&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Tunjangan Perumahan \\ Mess Karyawan', 'Jenjang karir yang jelas', 'Sistem reward yang menarik']"
IT Support,https://www.jobstreet.co.id/id/job/it-support-3845635?jobId=jobstreet-id-job-3845635&sectionRank=11&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"[""Hold at least a Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent."", 'At least 2\xa0Year(s) of working experience in the related field is required for this position.', 'Required language(s):\xa0Bahasa Indonesia, English', 'Familiar with Firewall, router, dan networking wired and wireless', 'Have a good knowledge in Server, Storage, Virtualization, Windows and Linux', 'Good administration skill, good communication skill', 'Computer knowledge in operating system and hardware', 'Willing to work mobile']"
IT Support,https://www.jobstreet.co.id/id/job/it-support-3846396?jobId=jobstreet-id-job-3846396&sectionRank=12&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Minimal Diploma (D3) Ilmu Komputer, Sistem Informasi, Teknik Komputer atau Pendidikan setara.', 'pengalaman minimal 1 tahun sebagai IT Desktop Support Engineer / IT Helpdesk.', 'Pengetahuan perangkat keras dan perangkat lunak : PC Desktop, Notebook, Printer, Scanner, Proyektor, dan perangkat EUC lainnya.', 'Pengetahuan terkait Sistem Operasi : Windows 7, 8, 10.', 'Pengetahuan tentang Keamanan IT Desktop : Anti Virus dan Patch.', 'Pengetahuan tentang Infrastruktur IT seperti : Konfigurasi Aplikasi Email pada platform Windows & Mobile Device, Microsoft Active Directory, Micorosoft Echange, Join Domain, Share Folder, User Priviledge, Share/Mapping Printer, SQL, Office 365.', 'Pengetahuan tentang Jaringan dan koneksi komputer seperti : Wifi, LAN, WAN, VPN, DNS, TCP / IP, DHCP, Proxy/Internet.']"
IT Support,https://www.jobstreet.co.id/id/job/it-support-3845762?jobId=jobstreet-id-job-3845762&sectionRank=13&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Foundation Specialist Contractor', '\nA Foreign Investment Company (PMA) founded by a group of highly experienced Indonesian and Malaysian civil engineers and geotechnical practitioners, PT. Aneka Jaringan Indonesia is a contractor specializing in bored pile and diaphragm wall. We are subsidiary of Aneka Jaringan Sdn Bhd, a well-established foundation and geotechnical contractor from Kuala Lumpur, Malaysia. Since our establishment in early of year 2015, we have successfully completed numerous projects across the country and are expecting to capture more projects in near future in line with the growing construction industry in Indonesia. We invite high caliber candidate to join our staff and to grow together with us.']"
IT SUPPORT,https://www.jobstreet.co.id/id/job/it-support-3846437?jobId=jobstreet-id-job-3846437&sectionRank=14&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Pendidikan minimal\xa0D3 informatika\xa0atau sederajat\xa0\xa0', 'Umur maksimal\xa035 tahun.', 'Menguasai jaringan\xa0lan\xa0komputer dan internet dengan\xa0\xa0baik', 'Pengalaman\xa0di bidang IT minimal 1 tahun.\xa0', 'Mampu bekerja\xa0di bawah tekanan']"
IT Helpdesk/ Hardware,https://www.jobstreet.co.id/id/job/it-helpdesk-hardware-3846415?jobId=jobstreet-id-job-3846415&sectionRank=15&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,['Maksimum Usia 29 Tahun']
IT Specialist (Mining),https://www.jobstreet.co.id/id/job/it-specialist-mining-3844514?jobId=jobstreet-id-job-3844514&sectionRank=16&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Candidate must posses at least bachelor’s degree in Computer Science / Information Technology or equivalent with minimum GPA 3.00 of 4.00 from reputable university', 'At least 15 years experience in related field is required for this position', 'Preferably have an experience as system administrator in mining industry', 'Familiar with Opus B is an advantage', 'Having an extensive understanding about IT software and business process', 'Mastering the basics of computer, printer, infrastructure, network and hardware troubleshooting', 'Able to repair hardware / master weak current electrical engineering is a plus', 'Have a good analytical & problem solving skill and good knowledge of business process.', 'Ability to work under less supervision and able to communicate well to all level', 'Willing to work in Cikini, Jakarta Pusat']"
Business Analyst,https://www.jobstreet.co.id/id/job/business-analyst-3846042?jobId=jobstreet-id-job-3846042&sectionRank=17&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Gathering data from business unit and analyze monthly business performance and provide necessary feedback to management.', 'Initiate and or propose improvement action on ad hoc project of the current business performance as well as new business opportunity.', 'Help to monitor work process in to be compliant to standard operating process.', 'Research on market information, identify new business opportunities and other project on ad-hoc basis']"
